"","id","site.id","neighborhood","pitstop.type","intervention.type","start.date","week.start","distance.km","count","week.end","site","pre.start","post.start","intervention","time","month"
"73",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-06-04,"0.1",32,2014-06-11,"101 Hyde St",2014-01-15,2015-01-15,"0",21,"6"
"74",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-06-11,"0.1",27,2014-06-18,"101 Hyde St",2014-01-15,2015-01-15,"0",22,"6"
"75",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-06-18,"0.1",28,2014-06-25,"101 Hyde St",2014-01-15,2015-01-15,"0",23,"6"
"76",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-06-25,"0.1",22,2014-07-02,"101 Hyde St",2014-01-15,2015-01-15,"0",24,"6"
"77",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-07-02,"0.1",34,2014-07-09,"101 Hyde St",2014-01-15,2015-01-15,"0",25,"7"
"78",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-07-09,"0.1",23,2014-07-16,"101 Hyde St",2014-01-15,2015-01-15,"0",26,"7"
"79",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-07-23,"0.1",15,2014-07-30,"101 Hyde St",2014-01-15,2015-01-15,"1",28,"7"
"80",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-07-30,"0.1",9,2014-08-06,"101 Hyde St",2014-01-15,2015-01-15,"1",29,"7"
"81",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-08-06,"0.1",16,2014-08-13,"101 Hyde St",2014-01-15,2015-01-15,"1",30,"8"
"82",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-08-13,"0.1",20,2014-08-20,"101 Hyde St",2014-01-15,2015-01-15,"1",31,"8"
"83",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-08-20,"0.1",12,2014-08-27,"101 Hyde St",2014-01-15,2015-01-15,"1",32,"8"
"84",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-08-27,"0.1",19,2014-09-03,"101 Hyde St",2014-01-15,2015-01-15,"1",33,"8"
"85",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-09-03,"0.1",16,2014-09-10,"101 Hyde St",2014-01-15,2015-01-15,"1",34,"9"
"86",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-09-10,"0.1",6,2014-09-17,"101 Hyde St",2014-01-15,2015-01-15,"1",35,"9"
"87",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-09-17,"0.1",7,2014-09-24,"101 Hyde St",2014-01-15,2015-01-15,"1",36,"9"
"88",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-09-24,"0.1",7,2014-10-01,"101 Hyde St",2014-01-15,2015-01-15,"1",37,"9"
"89",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-10-01,"0.1",7,2014-10-08,"101 Hyde St",2014-01-15,2015-01-15,"1",38,"10"
"90",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-10-08,"0.1",7,2014-10-15,"101 Hyde St",2014-01-15,2015-01-15,"1",39,"10"
"91",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-10-15,"0.1",9,2014-10-22,"101 Hyde St",2014-01-15,2015-01-15,"1",40,"10"
"92",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-10-22,"0.1",9,2014-10-29,"101 Hyde St",2014-01-15,2015-01-15,"1",41,"10"
"93",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-10-29,"0.1",8,2014-11-05,"101 Hyde St",2014-01-15,2015-01-15,"1",42,"10"
"94",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-11-05,"0.1",7,2014-11-12,"101 Hyde St",2014-01-15,2015-01-15,"1",43,"11"
"95",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-11-12,"0.1",9,2014-11-19,"101 Hyde St",2014-01-15,2015-01-15,"1",44,"11"
"96",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-11-19,"0.1",8,2014-11-26,"101 Hyde St",2014-01-15,2015-01-15,"1",45,"11"
"97",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-11-26,"0.1",8,2014-12-03,"101 Hyde St",2014-01-15,2015-01-15,"1",46,"11"
"98",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-12-03,"0.1",7,2014-12-10,"101 Hyde St",2014-01-15,2015-01-15,"1",47,"12"
"99",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-12-10,"0.1",6,2014-12-17,"101 Hyde St",2014-01-15,2015-01-15,"1",48,"12"
"100",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-12-17,"0.1",4,2014-12-24,"101 Hyde St",2014-01-15,2015-01-15,"1",49,"12"
"101",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-12-24,"0.1",1,2014-12-31,"101 Hyde St",2014-01-15,2015-01-15,"1",50,"12"
"102",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-12-31,"0.1",7,2015-01-07,"101 Hyde St",2014-01-15,2015-01-15,"1",51,"12"
"103",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2015-01-07,"0.1",4,2015-01-14,"101 Hyde St",2014-01-15,2015-01-15,"1",52,"1"
"104",2,"2","Tenderloin","Portable","New Restroom Installed",2014-07-15,2015-01-14,"0.1",11,2015-01-21,"101 Hyde St",2014-01-15,2015-01-15,"1",53,"1"
"105",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-01-15,"0.1",27,2014-01-22,"388 Ellis St",2014-01-15,2015-01-15,"0",1,"1"
"106",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-01-22,"0.1",7,2014-01-29,"388 Ellis St",2014-01-15,2015-01-15,"0",2,"1"
"107",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-01-29,"0.1",12,2014-02-05,"388 Ellis St",2014-01-15,2015-01-15,"0",3,"1"
"108",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-02-05,"0.1",27,2014-02-12,"388 Ellis St",2014-01-15,2015-01-15,"0",4,"2"
"109",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-02-12,"0.1",4,2014-02-19,"388 Ellis St",2014-01-15,2015-01-15,"0",5,"2"
"110",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-02-19,"0.1",19,2014-02-26,"388 Ellis St",2014-01-15,2015-01-15,"0",6,"2"
"111",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-02-26,"0.1",26,2014-03-05,"388 Ellis St",2014-01-15,2015-01-15,"0",7,"2"
"112",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-03-05,"0.1",36,2014-03-12,"388 Ellis St",2014-01-15,2015-01-15,"0",8,"3"
"113",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-03-12,"0.1",6,2014-03-19,"388 Ellis St",2014-01-15,2015-01-15,"0",9,"3"
"114",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-03-19,"0.1",20,2014-03-26,"388 Ellis St",2014-01-15,2015-01-15,"0",10,"3"
"115",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-03-26,"0.1",17,2014-04-02,"388 Ellis St",2014-01-15,2015-01-15,"0",11,"3"
"116",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-04-02,"0.1",19,2014-04-09,"388 Ellis St",2014-01-15,2015-01-15,"0",12,"4"
"117",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-04-09,"0.1",19,2014-04-16,"388 Ellis St",2014-01-15,2015-01-15,"0",13,"4"
"118",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-04-16,"0.1",20,2014-04-23,"388 Ellis St",2014-01-15,2015-01-15,"0",14,"4"
"119",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-04-23,"0.1",18,2014-04-30,"388 Ellis St",2014-01-15,2015-01-15,"0",15,"4"
"120",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-04-30,"0.1",13,2014-05-07,"388 Ellis St",2014-01-15,2015-01-15,"0",16,"4"
"121",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-05-07,"0.1",26,2014-05-14,"388 Ellis St",2014-01-15,2015-01-15,"0",17,"5"
"122",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-05-14,"0.1",38,2014-05-21,"388 Ellis St",2014-01-15,2015-01-15,"0",18,"5"
"123",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-05-21,"0.1",23,2014-05-28,"388 Ellis St",2014-01-15,2015-01-15,"0",19,"5"
"124",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-05-28,"0.1",32,2014-06-04,"388 Ellis St",2014-01-15,2015-01-15,"0",20,"5"
"125",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-06-04,"0.1",21,2014-06-11,"388 Ellis St",2014-01-15,2015-01-15,"0",21,"6"
"126",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-06-11,"0.1",27,2014-06-18,"388 Ellis St",2014-01-15,2015-01-15,"0",22,"6"
"127",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-06-18,"0.1",23,2014-06-25,"388 Ellis St",2014-01-15,2015-01-15,"0",23,"6"
"128",3,"3","Tenderloin","Portable","New Restroom Installed",2014-07-15,2014-06-25,"0.1",15,2014-07-02,"388 Ellis St",2014-01-15,2015-01-15,"0",24,"6"
